Price,Bathrooms,Furniture,Tenant Preference,Floor,Flat,Location,Area,Total Floors
59000,2.0,Unfurnished,Family,14,2,Mumbai,Evershine Embassy,19.0
29000,4.0,Unfurnished,Family,35,3,Mumbai,Lodha Kiara,67.0
29000,4.0,Semi-Furnished,Family,0,3,Mumbai,Lodha Fiorenza,32.0
29000,3.0,Furnished,Family,24,3,Mumbai,Hiranandani Verona Co op Housing Society Ltd,32.0
29000,3.0,Unfurnished,Bachelors,3,3,Mumbai,Juhu,8.0
88000,2.0,Furnished,Bachelors/Family,7,2,Mumbai,Rustomjee Ozone,36.0
84900,2.0,Semi-Furnished,Bachelors/Family,15,2,Mumbai,L&T Emerald Isle,26.0
83000,3.0,Unfurnished,Bachelors/Family,39,3,Mumbai,Runwal Bliss,50.0
50000,1.0,Semi-Furnished,Family,4,1,Mumbai,Dosti Acres,7.0
75000,3.0,Unfurnished,Bachelors,9,3,Mumbai,Sadguru Poonam Heights,22.0
110000,3.0,Unfurnished,Bachelors/Family,10,3,Mumbai,Godrej Urban Park,22.0
62000,2.0,Semi-Furnished,Bachelors/Family,4,3,Mumbai,Wadhwa Atmosphere,45.0
29000,3.0,Semi-Furnished,Bachelors/Family,40,3,Mumbai,Oberoi Sky City,60.0
29000,2.0,Semi-Furnished,Family,5,3,Mumbai,Kabra Primera,17.0
29000,3.0,Furnished,Bachelors/Family,25,3,Mumbai,Lodha World View,76.0
29000,3.0,Semi-Furnished,Family,35,3,Mumbai,Oberoi Sky City,61.0
29000,3.0,Semi-Furnished,Bachelors/Family,19,3,Mumbai,Vasant Oasis,22.0
65000,3.0,Unfurnished,Bachelors/Family,6,3,Mumbai,Runwal Heights,18.0
29000,3.0,Furnished,Bachelors,9,3,Mumbai,Adani Western Heights,29.0
29000,2.0,Semi-Furnished,Bachelors/Family,70,2,Mumbai,Lodha Allura,77.0
50000,2.0,Unfurnished,Bachelors,0,2,Mumbai,Romell Serene,35.0
29000,2.0,Furnished,Family,30,3,Mumbai,Oberoi Woods,35.0
60000,4.0,Unfurnished,Bachelors/Family,7,3,Kolkata,Bengal Peerless Avidipta,17.0
29000,3.0,Semi-Furnished,Bachelors/Family,20,3,Kolkata,Ambuja Utalika The Condoville,24.0
